Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
29,"Exposed, Dax Toy",Exposed,Dax Toy,453606,40362,Demonstration Duration,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,493968,12130,First Response Window,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,496478,0,First Action,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,496478,0,Head Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,506098,68483,Exploration Duration,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,506113,68468,Engagement,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,507980,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,507981,1735,IBA,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,520627,634,IBA,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,520633,0,Head Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,523079,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,523096,801,IBA,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,524297,3930,IBA,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,524313,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,530537,1435,IBA,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,530566,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,534766,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,534775,3036,IBA,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,536066,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,536819,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,537760,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,543972,0,Head Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,543984,333,IBA,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,550747,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,550757,968,IBA,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,552358,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,552426,834,IBA,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,558728,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,558765,2569,IBA,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,565554,0,Hand Touch,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,565572,1268,IBA,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,8149,438805,Warm Up Duration,(null)
29,"Exposed, Dax Toy",Exposed,Dax Toy,8149,608078,Total Trial Length,(null)
