Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
12,"Exposed, Dax Toy",Exposed,Dax Toy,11661,403971,Warm Up Duration,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,11661,595796,Total Trial Length,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,427310,44211,Demonstration Duration,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,471521,9443,Frist Response Window,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,472989,0,First Action,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,472989,0,Hand Touch,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,475237,0,Head Touch,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,480964,67233,Exploration Duration,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,481898,2569,Engagement,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,488738,22289,Engagement,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,497747,2636,IBA,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,497780,0,Hand Touch,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,503286,0,Head Touch,Evident in PIP view
12,"Exposed, Dax Toy",Exposed,Dax Toy,503286,634,IBA,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,506055,1468,IBA,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,506089,0,Hand Touch,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,512528,15349,Engagement,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,513062,0,Hand Touch,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,513062,401,IBA,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,517874,0,Hand Touch,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,524340,0,Hand Touch,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,524340,1135,IBA,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,537587,10610,Engagement,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,540924,0,Hand Touch,(null)
12,"Exposed, Dax Toy",Exposed,Dax Toy,540957,634,IBA,(null)
