Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
18,"Exposed, Dax Toy",Exposed,Dax Toy,15310,537686,Warm Up Duration,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,15322,807907,Total Trial Length,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,560111,44464,Demonstration Duration,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,604575,23034,Frist Response Window,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,627609,130484,Exploration Duration,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,715722,34201,Engagement,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,717810,0,First Action,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,717810,0,Hand Touch,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,717891,634,IBA,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,720059,935,IBA,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,720080,0,Head Touch,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,722162,1434,IBA,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,722184,0,Head Touch,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,724842,0,Hand Touch,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,724898,500,IBA,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,732105,1635,IBA,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,732151,0,Head Touch,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,735196,0,Hand Touch,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,735308,2569,IBA,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,739682,0,Head Touch,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,739879,568,IBA,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,742173,0,Hand Touch,(null)
18,"Exposed, Dax Toy",Exposed,Dax Toy,742182,2669,IBA,(null)
