Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
33,"Exposed, Dax",Exposed,Dax,10781,299902,Warm Up Duration,(null)
33,"Exposed, Dax",Exposed,Dax,10781,451126,Total Trial Length,(null)
33,"Exposed, Dax",Exposed,Dax,318020,46552,Demonstration Duration,(null)
33,"Exposed, Dax",Exposed,Dax,364572,11775,First Response Window,(null)
33,"Exposed, Dax",Exposed,Dax,366399,0,First Action,(null)
33,"Exposed, Dax",Exposed,Dax,366399,0,Head Touch,(null)
33,"Exposed, Dax",Exposed,Dax,370756,0,Hand Touch,(null)
33,"Exposed, Dax",Exposed,Dax,376347,43917,Exploration Duration,(null)
33,"Exposed, Dax",Exposed,Dax,378606,0,Hand Touch,(null)
33,"Exposed, Dax",Exposed,Dax,387304,0,Hand Touch,(null)
