Participant,Condition,Hands,Language,Time,Duration,TrackName,comment
11,"Exposed, Dax Toy",Exposed,Dax Toy,40204,453287,Warm Up Duration,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,40204,653286,Total Trial Length,start - the child is playing on the floor with the toys (not in view of camera) 
11,"Exposed, Dax Toy",Exposed,Dax Toy,500397,42676,Demonstration Duration,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,543073,28395,Frist Response Window,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,571468,81916,Exploration Duration,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,571902,4505,Engagement,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,573270,1935,IBA,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,581979,33734,Engagement,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,583047,0,Hand Touch,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,583080,2469,IBA,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,595059,0,Hand Touch,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,595092,1768,IBA,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,602900,0,Hand Touch,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,603000,3337,IBA,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,604134,0,Hand Touch,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,608239,6473,IBA,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,608272,0,Hand Touch,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,609707,0,Head Touch,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,613611,0,Hand Touch,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,625289,1268,Engagement,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,633664,6306,Engagement,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,636100,0,Hand Touch,(null)
11,"Exposed, Dax Toy",Exposed,Dax Toy,636100,2035,IBA,(null)
